Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
AA,ALCOA CORP COM,44.01,52.0,UP,37.25,31.61,0.89,13.8,6.86,N/A
AAL,AMERICAN AIRLS GROUP INC COM,14.34,39.5,UP,12.64,11.97,0.17,7.1,68.5,N/A
AAOI,APPLIED OPTOELECTRONICS INC COM,26.24,54.3,SIDEWAYS,28.29,22.57,4.25,35.95,5.23,N/A
AAP,ADVANCE AUTO PARTS INC COM,52.5,67.5,SIDEWAYS,53.22,48.73,0.37,19.52,1.68,N/A
AAPL,APPLE INC COM,280.7,14.5,UP,264.99,227.81,10.01,33.78,51.21,N/A
ABAT,AMERICAN BATTERY TECHNOLOGY COM NEW,4.19,110.9,SIDEWAYS,4.96,2.51,108.35,-29.93,13.35,N/A
ABBV,ABBVIE INC COM,228.71,28.7,UP,227.49,204.35,6.78,18.85,5.97,N/A
ABNB,AIRBNB INC COM CL A,120.82,30.5,DOWN,121.62,127.39,6.19,26.85,5.0,N/A
ABR,ARBOR REALTY TRUST INC COM,8.96,33.6,DOWN,10.25,11.11,3.43,5.86,3.03,N/A
ABT,ABBOTT LABS COM,125.4,21.2,DOWN,128.63,130.96,4.98,24.3,6.21,N/A
ABTC,AMERICAN BITCOIN CORP. COM CL A,2.42,187.5,SIDEWAYS,5.21,4.53,18.32,N/A,6.07,N/A
ACHR,ARCHER AVIATION INC COM CL A,8.95,60.2,SIDEWAYS,9.89,9.48,N/A,-9.04,58.85,N/A
ACI,ALBERTSONS COS INC COMMON STOCK,17.66,55.5,DOWN,17.93,20.13,0.12,7.78,7.99,N/A
ACN,ACCENTURE PLC IRELAND SHS CLASS A,269.34,36.6,SIDEWAYS,247.07,281.99,2.41,19.14,4.72,N/A
ADBE,ADOBE INC COM,328.73,25.7,DOWN,337.5,370.8,6.02,16.0,4.32,N/A
ADI,ANALOG DEVICES INC COM,277.26,34.7,UP,241.53,227.31,12.32,36.77,3.49,N/A
ADP,AUTOMATIC DATA PROCESSING INC COM,259.4,23.3,DOWN,270.26,296.06,5.03,23.86,2.05,N/A
ADSK,AUTODESK INC COM,305.85,33.9,UP,305.29,292.82,9.46,33.32,1.41,N/A
