Ticker,Name,Price,IV %,Trend,P/S,Fwd P/E,Avg Vol (M),Earnings
AA,ALCOA CORP COM,47.535,0.0,UP,0.96,13.21,6.87,N/A
AAL,AMERICAN AIRLS GROUP INC COM,15.245,0.0,UP,0.19,8.3,65.19,N/A
AAOI,APPLIED OPTOELECTRONICS INC COM,34.94,1.6,UP,5.66,45.03,5.36,N/A
AAP,ADVANCE AUTO PARTS INC COM,48.58,6.3,DOWN,0.34,18.17,1.71,N/A
AAPL,APPLE INC COM,279.02,1.6,UP,9.95,30.53,49.12,N/A
ABAT,AMERICAN BATTERY TECHNOLOGY COM NEW,4.255,50.0,UP,110.04,-30.39,13.57,N/A
ABBV,ABBVIE INC COM,222.61,0.0,UP,6.6,15.61,5.96,N/A
ABNB,AIRBNB INC COM CL A,129.68,1.6,UP,6.65,26.91,4.97,N/A
ABR,ARBOR REALTY TRUST INC COM,9.08,0.0,DOWN,3.48,10.2,3.09,N/A
ABT,ABBOTT LABS COM,124.395,0.0,DOWN,4.94,21.92,6.24,N/A
ABTC,AMERICAN BITCOIN CORP. COM CL A,1.952,25.0,DOWN,14.78,48.8,6.92,N/A
ACHR,ARCHER AVIATION INC COM CL A,8.7258,0.0,DOWN,0,-11.87,60.49,N/A
ACI,ALBERTSONS COS INC COMMON STOCK,17.47,1.6,DOWN,0.12,7.54,8.34,N/A
ACN,ACCENTURE PLC IRELAND SHS CLASS A,272.435,0.2,DOWN,2.44,18.29,4.63,N/A
ADBE,ADOBE INC COM,358.7909,1.6,DOWN,6.4,13.63,4.2,N/A
ADI,ANALOG DEVICES INC COM,283.1,0.0,UP,12.58,25.15,3.61,N/A
ADP,AUTOMATIC DATA PROCESSING INC COM,264.71,0.8,DOWN,5.13,22.16,2.11,N/A
ADSK,AUTODESK INC COM,300.525,0.0,UP,9.29,25.94,1.42,N/A
AEM,AGNICO EAGLE MINES LTD COM,173.845,3.1,UP,8.26,16.27,2.81,N/A
AEO,AMERICAN EAGLE OUTFITTERS INC COM,25.15,0.0,UP,0.8,15.48,7.94,N/A
AES,AES CORP COM,14.025,0.0,UP,0.83,6.07,9.84,N/A
AFL,AFLAC INC COM,109.8,1.6,UP,3.32,14.89,2.2,N/A
AFRM,AFFIRM HLDGS INC COM CL A,68.6225,3.1,UP,6.55,17.92,5.98,N/A
AG,FIRST MAJESTIC SILVER CORP COM,16.9428,3.1,UP,8.6,24.64,20.65,N/A
AGNC,AGNC INVT CORP COM,10.385,6.3,UP,11.65,6.48,21.17,N/A
AGQ,PROSHARES TR II ULTRA SILVER NEW,0,0.0,Down,0,0,3.38,N/A
AI,C3 AI INC CL A,15.806,6.3,DOWN,6.3,-16.77,7.19,N/A
AIG,AMERICAN INTL GROUP INC COM NEW,83.45,0.0,UP,1.7,10.62,4.62,N/A
ALAB,ASTERA LABS INC COM,166.2575,3.1,UP,38.84,70.16,6.5,N/A
ALB,ALBEMARLE CORP COM,134.913,0.4,UP,3.21,187.78,3.6,N/A
ALGN,ALIGN TECHNOLOGY INC COM,165.58,0.0,UP,3.01,15.12,1.38,N/A
ALT,ALTIMMUNE INC COM NEW,5.445,12.5,UP,28407.22,-4.14,3.07,N/A
AMAT,APPLIED MATLS INC COM,267.84,0.0,UP,7.52,23.43,8.36,N/A
AMBA,AMBARELLA INC SHS,79.1,0.0,UP,9.11,127.97,0.81,N/A
AMC,AMC ENTMT HLDGS INC CL A NEW,2.1799,0.0,DOWN,0.23,-3.79,21.06,N/A
AMD,ADVANCED MICRO DEVICES INC COM,218.4999,0.0,UP,11.11,33.92,56.94,N/A
AMDL,GRANITESHARES ETF TR GRANITE 2X LONG,0,0.0,Down,0,0,23.1,N/A
AMGN,AMGEN INC COM,318.44,3.1,UP,4.77,14.52,2.7,N/A
AMZN,AMAZON COM INC COM,227.8,0.0,UP,3.52,29.02,48.14,N/A
