Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
AA,ALCOA CORP COM,51.25,42.9,UP,39.91,32.34,1.03,12.95,6.87,N/A
AAL,AMERICAN AIRLS GROUP INC COM,15.78,35.2,UP,13.47,12.0,0.19,8.4,62.34,N/A
AAOI,APPLIED OPTOELECTRONICS INC COM,31.32,81.7,UP,28.63,23.01,5.07,40.36,5.24,N/A
AAP,ADVANCE AUTO PARTS INC COM,40.4,53.6,FLAT,50.46,49.18,0.28,15.08,1.72,N/A
AAPL,APPLE INC COM,273.67,20.2,UP,269.52,229.91,9.76,30.0,48.56,N/A
ABAT,AMERICAN BATTERY TECHNOLOGY COM NEW,3.97,93.0,FLAT,4.7,2.69,102.67,-28.36,13.35,N/A
ABBV,ABBVIE INC COM,226.82,22.9,UP,226.68,205.5,6.72,15.91,6.07,N/A
ABNB,AIRBNB INC COM CL A,135.28,28.0,FLAT,123.39,126.47,6.93,28.06,4.95,N/A
ABR,ARBOR REALTY TRUST INC COM,7.97,35.2,DOWN,9.75,10.88,3.05,9.06,3.2,N/A
ABT,ABBOTT LABS COM,125.45,19.7,DOWN,126.86,130.29,4.98,22.1,6.37,N/A
ABTC,AMERICAN BITCOIN CORP. COM CL A,1.78,103.1,DOWN,4.1,4.56,13.48,44.5,7.89,N/A
ACHR,ARCHER AVIATION INC COM CL A,8.16,62.1,DOWN,9.28,9.47,0,-11.1,59.72,N/A
ACI,ALBERTSONS COS INC COMMON STOCK,17.43,31.6,DOWN,17.99,19.93,0.12,7.53,8.57,N/A
ACN,ACCENTURE PLC IRELAND SHS CLASS A,272.25,30.3,FLAT,252.6,276.68,2.39,18.26,4.54,N/A
ADBE,ADOBE INC COM,355.86,24.2,FLAT,337.13,364.95,6.35,13.52,4.12,N/A
ADI,ANALOG DEVICES INC COM,274.44,22.9,UP,249.52,230.04,12.19,24.42,3.75,N/A
ADP,AUTOMATIC DATA PROCESSING INC COM,257.94,23.3,DOWN,263.88,293.04,5.0,21.6,2.24,N/A
ADSK,AUTODESK INC COM,300.08,23.9,FLAT,301.1,294.03,9.28,25.89,1.44,N/A
AEM,AGNICO EAGLE MINES LTD COM,174.21,39.0,UP,166.88,136.38,8.28,16.26,2.73,N/A
AEO,AMERICAN EAGLE OUTFITTERS INC COM,27.84,47.5,UP,19.3,14.11,0.88,17.13,7.81,N/A
AES,AES CORP COM,13.53,34.0,FLAT,14.02,12.55,0.8,5.85,9.5,N/A
AFL,AFLAC INC COM,110.36,17.9,UP,109.9,106.78,3.33,14.98,2.27,N/A
AFRM,AFFIRM HLDGS INC COM CL A,76.22,52.3,UP,70.85,64.89,7.27,19.9,5.95,N/A
